No,DHIS2 Code,MoH_Facility_Name,MoH_Facility_ID,HFR Code,DATIM_ID,SNU,PSNU,Facility,Facility,Military,Funding Agency,IP,COP23FY24
2281,qKUkLboWrip,Emarti Dispensary,qKUkLboWrip,101076-8,ekUlr2dzCoN,Manyara,Kiteto District Council,Emarti Dispensary,Emarti Dispensary,,USAID,EGPAF,4
2282,UUjt75q5LG9,Lyamungo Health Center,UUjt75q5LG9,103795-1,vwQnm09aNfp,Kilimanjaro,Hai District Council,Lyamungo Health Center,Lyamungo Health Center,,USAID,EGPAF,4
2283,RVylmbLavGV,Puma Dispensary,RVylmbLavGV,107040-8,rWXqL4f2ua3,Singida,Ikungi District Council,Puma Dispensary,Puma Dispensary,,USAID,EGPAF,4
2284,kOcXZnYUHWY,Katesh Health Center,kOcXZnYUHWY,102473-6,s7n2YHCY9R2,Manyara,Hanang District Council,Katesh Health Center,Katesh Health Center,,USAID,EGPAF,4
2285,JbAfOoAHoXw,Ugogoni Health Center,JbAfOoAHoXw,108027-4,UbJHGsxvxEe,Dodoma,Kongwa District Council,Ugogoni Health Center,Ugogoni Health Center,,USAID,EGPAF,4
2286,UQJCGNvQgZh,Mbori Health Center,UQJCGNvQgZh,104635-8,mbQl11CbcGn,Dodoma,Mpwapwa District Council,Mbori Health Center,Mbori Health Center,,USAID,EGPAF,4
2287,BlcMjTfYewl,Msaranga Dispensary,BlcMjTfYewl,105439-4,FX3sU5mzgXC,Kilimanjaro,Moshi Municipal Council,Msaranga Dispensary,Msaranga Dispensary,,USAID,EGPAF,4
2288,fdSht9ZTFYl,Kihurio Dispensary,fdSht9ZTFYl,102752-3,qA2SYKb6idY,Kilimanjaro,Same District Council,Kihurio Dispensary,Kihurio Dispensary,,USAID,EGPAF,4
2289,RGohhh9DQWp,Soya Health Center,RGohhh9DQWp,107558-9,EaRRViOvC5g,Dodoma,Chemba District Council,Soya Health Center,Soya Health Center,,USAID,EGPAF,4
2290,qL4Z8cQb6EZ,Sanya Juu Dispensary,qL4Z8cQb6EZ,111060-0,D9gdIGY57dl,Kilimanjaro,Siha District Council,Sanya Juu Dispensary,Sanya Juu Dispensary,,USAID,EGPAF,4
2291,MR51q3kInm1,Bashnet Other Hospital,MR51q3kInm1,100336-7,qMa6PmSTFDb,Manyara,Babati District Council,Bashnet Other Hospital,Bashnet Other Hospital,,USAID,EGPAF,4
2292,KyYR2pwkNl9,Magara Health Center,KyYR2pwkNl9,103909-8,UhZhYnEVIlk,Manyara,Babati District Council,Magara Health Center,Magara Health Center,,USAID,EGPAF,4
2293,ZTHbhdZTj0f,Kiranyi Dispensary,ZTHbhdZTj0f,103029-5,bhPZMJIRI9k,Arusha,Arusha District Council,Kiranyi Dispensary,Kiranyi Dispensary,,USAID,EGPAF,4
2294,zMhnkY5xEjx,Shiri Matunda Dispensary,zMhnkY5xEjx,107429-3,tAtz6KnCWrH,Kilimanjaro,Moshi Municipal Council,Shiri Matunda Dispensary,Shiri Matunda Dispensary,,USAID,EGPAF,4
2295,gdxWTFhGr3Y,Nyumba Ya Mungu Dispensary,gdxWTFhGr3Y,106862-6,aH7J4xxE7qg,Manyara,Simanjiro District Council,Nyumba Ya Mungu Dispensary,Nyumba Ya Mungu Dispensary,,USAID,EGPAF,4
2296,RtLHwUUyXP6,Kingale Health Center,RtLHwUUyXP6,113926-0,EpGNrwz7jQU,Dodoma,Kondoa Town Council,Kingale Health Center,Kingale Health Center,,USAID,EGPAF,4
2297,WHWHZPyG7J3,Chikuyu Dispensary,WHWHZPyG7J3,100810-1,m9IPB5W2ui5,Singida,Manyoni District Council,Chikuyu Dispensary,Chikuyu Dispensary,,USAID,EGPAF,4
2298,xr0sFLcYQc5,Maore Dispensary,xr0sFLcYQc5,101247-5,EA9QSH5E9rT,Kilimanjaro,Same District Council,Maore Dispensary,Maore Dispensary,,USAID,EGPAF,4
2299,M4lYsLaTnVs,Kikavu Chini Dispensary,M4lYsLaTnVs,102775-4,swmn854gwLX,Kilimanjaro,Hai District Council,Kikavu Chini Dispensary,Kikavu Chini Dispensary,,USAID,EGPAF,4
2300,Enef4XEHyrI,Idodyandole Dispensary,Enef4XEHyrI,101486-9,gw5xiUIssDi,Singida,Itigi District Council,Idodyandole Dispensary,Idodyandole Dispensary,,USAID,EGPAF,4
2301,WkT6EHYFMr6,Dabalo Health Center,WkT6EHYFMr6,100941-4,w8KdVmDCPwZ,Dodoma,Chamwino District Council,Dabalo Health Center,Dabalo Health Center,,USAID,EGPAF,4
2302,CugiuvSyGFl,M&M Kiwera Dispensary,CugiuvSyGFl,103805-8,X7QTHbbT1ae,Arusha,Arusha District Council,M&M Kiwera Dispensary,M&M Kiwera Dispensary,,USAID,EGPAF,4
2303,iloXVJAIIjT,Orkesument Hospita Vah Other Hospital,iloXVJAIIjT,106935-0,kgkqXguSvhF,Manyara,Simanjiro District Council,Orkesumet Orkesument Hospita Vah Other Hospital,Orkesumet Orkesument Hospita Vah Other Hospital,,USAID,EGPAF,4
2304,UeVLNqimHXp,Chikola Dispensary,UeVLNqimHXp,100800-2,Wh43rnbHu0k,Singida,Manyoni District Council,Chikola Dispensary,Chikola Dispensary,,USAID,EGPAF,4
2305,rYs8m9LLa1a,Mary Land Health Center,rYs8m9LLa1a,104368-6,eKy6zT0Czlt,Kilimanjaro,Moshi Municipal Council,Mary Land Health Center,Mary Land Health Center,,USAID,EGPAF,4
2306,WmWad8Cj8pa,Ngorika Dispensary,WmWad8Cj8pa,106419-5,FBxZJ72lHQM,Manyara,Simanjiro District Council,Ngorika Dispensary,Ngorika Dispensary,,USAID,EGPAF,4
2307,UHPlq1oyoyP,Lolkisale Dispensary,UHPlq1oyoyP,103574-0,eGNP1huD9zy,Arusha,Monduli District Council,Lolkisale Dispensary,Lolkisale Dispensary,,USAID,EGPAF,4
2308,xVj1yplOZaP,Queen Of Universal Other Hospital,xVj1yplOZaP,107049-9,OLgVGknNnhd,Singida,Ikungi District Council,Queen Of Universal Other Hospital,Queen Of Universal Other Hospital,,USAID,EGPAF,4
2309,nbQ2tsUcN2h,Mondo Dispensary,nbQ2tsUcN2h,105284-4,iaZW53FrWzp,Dodoma,Chemba District Council,Mondo Dispensary,Mondo Dispensary,,USAID,EGPAF,4
2310,Z1CD3tq1pEz,Ndedo Dispensary,Z1CD3tq1pEz,106243-9,OVww8PN6jdv,Manyara,Kiteto District Council,Ndedo Dispensary,Ndedo Dispensary,,USAID,EGPAF,4
2311,hi8u2TTsy2Q,Kioga Dispensary,hi8u2TTsy2Q,102981-8,DewMRPsDa4i,Arusha,Arusha District Council,Kioga Dispensary,Kioga Dispensary,,USAID,EGPAF,4
2312,SJOElBiUTes,Mgandu Dispensary,SJOElBiUTes,104769-5,KDhxY3quLCY,Singida,Itigi District Council,Mgandu Dispensary,Mgandu Dispensary,,USAID,EGPAF,4
2313,Vsf5cAWzWY3,Neema Health Center,Vsf5cAWzWY3,106295-9,oOHflfGAo0t,Kilimanjaro,Mwanga District Council,Neema Health Center,Neema Health Center,,USAID,EGPAF,4
2314,VmxAAKzxuZE,Msitu Wa Tembo Dispensary,VmxAAKzxuZE,105481-6,k0THP58Q2jA,Manyara,Simanjiro District Council,Msitu Wa Tembo Dispensary,Msitu Wa Tembo Dispensary,,USAID,EGPAF,4
2315,WPl3KcwcezM,Michese Dispensary,WPl3KcwcezM,104819-8,RFGXom1x5Jg,Dodoma,Dodoma Municipal Council,Michese Dispensary,Michese Dispensary,,USAID,EGPAF,4
2316,D18du2ZrbqC,Mwaru Dispensary,D18du2ZrbqC,105960-9,M40HNlw3PvV,Singida,Ikungi District Council,Mwaru Dispensary,Mwaru Dispensary,,USAID,EGPAF,4
2317,sKGC72GqODq,Chiwe Dispensary,sKGC72GqODq,100864-8,YfXdS5hPW2h,Dodoma,Kongwa District Council,Chiwe Dispensary,Chiwe Dispensary,,USAID,EGPAF,4
2318,xJ4djWrdwfl,Kiperesa Dispensary,xJ4djWrdwfl,103001-4,oxDoMGkDQzy,Manyara,Kiteto District Council,Kiperesa Dispensary,Kiperesa Dispensary,,USAID,EGPAF,4
2319,dFR9QtW8RSd,Shengena Health Center,dFR9QtW8RSd,107404-6,fOZAy8vpDh7,Kilimanjaro,Same District Council,Shengena Health Center,Shengena Health Center,,USAID,EGPAF,4
2320,dftu3grNjoh,Ketumbeine Dispensary,dftu3grNjoh,103195-4,t2MTbiuns7N,Arusha,Longido District Council,Ketumbeine Dispensary,Ketumbeine Dispensary,,USAID,EGPAF,4
2321,SE9XYo49s5V,Daudi Health Center,SE9XYo49s5V,100957-0,vvy5cPW2NnJ,Manyara,Mbulu Town Council,Daudi Health Center,Daudi Health Center,,USAID,EGPAF,4
2322,van5LQXzVBR,Momella Health Center,van5LQXzVBR,105282-8,SMQHXlvCu3E,Arusha,Meru District Council,Momella Health Center,Momella Health Center,,USAID,EGPAF,4
2323,xHQF4W433gD,Rau Dispensary,xHQF4W433gD,107062-2,AK9l0Uij1A3,Kilimanjaro,Moshi Municipal Council,Rau Dispensary,Rau Dispensary,,USAID,EGPAF,4
2324,VCnQzjWIICM,Laikala Dispensary,VCnQzjWIICM,103449-5,ex0HWmhH8xE,Dodoma,Kongwa District Council,Laikala Dispensary,Laikala Dispensary,,USAID,EGPAF,4
2325,dnC1AoAPBwr,Olkokola Rc Dispensary,dnC1AoAPBwr,106914-5,d8wL2A0qjsW,Arusha,Arusha District Council,Olkokola Rc Dispensary,Olkokola Rc Dispensary,,USAID,EGPAF,4
2326,mes2onUcWuL,Chunyu Dispensary,mes2onUcWuL,100891-1,VsgxkJoBDhS,Dodoma,Mpwapwa District Council,Chunyu Dispensary,Chunyu Dispensary,,USAID,EGPAF,4
2327,o6jcxuUh0Je,Kigonigoni Health Center,o6jcxuUh0Je,102725-9,iVZSZDNIlZI,Kilimanjaro,Mwanga District Council,Kigonigoni Health Center,Kigonigoni Health Center,,USAID,EGPAF,4
2328,i3dh72oeUnO,Mgori Health Center,i3dh72oeUnO,104790-1,XEEVmTsbgr7,Singida,Singida District Council,Mgori Health Center,Mgori Health Center,,USAID,EGPAF,4
2329,oYndrZbx8Lr,Njoro Dispensary,oYndrZbx8Lr,106506-9,USpZAV2rtji,Manyara,Kiteto District Council,Njoro Dispensary,Njoro Dispensary,,USAID,EGPAF,4
2330,blqF4d5RSB5,Sambasha Dispensary,blqF4d5RSB5,109545-4,ekk83JtC1b5,Arusha,Arusha District Council,Sambasha Dispensary,Sambasha Dispensary,,USAID,EGPAF,4
2331,ricQfYS4iXR,Londoni Dispensary,ricQfYS4iXR,103577-3,f8d2QFShGCb,Singida,Manyoni District Council,Londoni Dispensary,Londoni Dispensary,,USAID,EGPAF,4
2332,TiG5k8vhTYv,St Lukes Health Center,TiG5k8vhTYv,107564-7,C4TxOq9JMl2,Dodoma,Mpwapwa District Council,St Lukes Health Center,St Lukes Health Center,,USAID,EGPAF,4
2333,l5AYnPKI6tm,Mwitikira Health Center,l5AYnPKI6tm,106016-9,xvkbTM2WUqk,Dodoma,Bahi District Council,Mwitikira Health Center,Mwitikira Health Center,,USAID,EGPAF,4
2334,oUHc2XrxaZ9,Ighombwe Dispensary,oUHc2XrxaZ9,101542-9,uPPW9FYgBKQ,Singida,Ikungi District Council,Ighombwe Dispensary,Ighombwe Dispensary,,USAID,EGPAF,4
2335,wvvo1q8umzy,Mpalanga Dispensary,wvvo1q8umzy,105328-9,I3bnCBLIOUg,Dodoma,Bahi District Council,Mpalanga Dispensary,Mpalanga Dispensary,,USAID,EGPAF,4
2336,ex6nnJDZNEA,Kinyeto Dispensary,ex6nnJDZNEA,102979-2,xt7npagKTti,Singida,Singida District Council,Kinyeto Dispensary,Kinyeto Dispensary,,USAID,EGPAF,4
2337,EkZIPhLENlQ,Naibili Dispensary,EkZIPhLENlQ,106074-8,L8c8qYknyd1,Kilimanjaro,Siha District Council,Naibili Dispensary,Naibili Dispensary,,USAID,EGPAF,4
2338,tXUVWax6v3H,Thawi Health Center,tXUVWax6v3H,107816-1,J0GYmZwVn6j,Dodoma,Kondoa District Council,Thawi Health Center,Thawi Health Center,,USAID,EGPAF,4
2339,I2RwvxAn1qe,Mabogini Dispensary,I2RwvxAn1qe,103823-1,CqzwqgXZzHW,Kilimanjaro,Moshi District Council,Mabogini Dispensary,Mabogini Dispensary,,USAID,EGPAF,4
2340,v625O7ge6xJ,Magadini Dispensary,v625O7ge6xJ,103887-6,mIJNtlMBE1x,Manyara,Simanjiro District Council,Magadini Dispensary,Magadini Dispensary,,USAID,EGPAF,4
2341,KAkSVMQ0Orm,Mhintiri Dispensary,KAkSVMQ0Orm,105655-5,c70Hpw2wvsl,Singida,Ikungi District Council,Mhintiri Dispensary,Mhintiri Dispensary,,USAID,EGPAF,4
2342,JERYL1Cy3YN,Ashe Engai Rc Health Center,JERYL1Cy3YN,102374-6,YnzHDqtim6s,Kilimanjaro,Siha District Council,Ashe Engai Rc Health Center,Ashe Engai Rc Health Center,,USAID,EGPAF,4
2343,DxKeXp4SRle,Elerai Dispensary,DxKeXp4SRle,109982-9,kKhP3RHvrjS,Arusha,Arusha City Council,Elerai Dispensary,Elerai Dispensary,,USAID,EGPAF,4
2344,jN03YC5zmlH,Ngarenanyuki Health Center,jN03YC5zmlH,106356-9,z1s0nhA2AwA,Arusha,Meru District Council,Ngarenanyuki Health Center,Ngarenanyuki Health Center,,USAID,EGPAF,4
2345,Rvx23ptWKV0,Kamwanga Dispensary,Rvx23ptWKV0,102299-5,uLmEopM5eak,Arusha,Longido District Council,Kamwanga Dispensary,Kamwanga Dispensary,,USAID,EGPAF,4
2346,Ok9aHI17F7X,Mamire Health Center,Ok9aHI17F7X,104211-8,LHXkMX09pp6,Manyara,Babati District Council,Mamire Health Center,Mamire Health Center,,USAID,EGPAF,4
2347,bubxQD3hheG,Simbanguru Dispensary,bubxQD3hheG,107474-9,ShwCDL3Zk6K,Singida,Manyoni District Council,Simbanguru Dispensary,Simbanguru Dispensary,,USAID,EGPAF,4
2348,DdD0eJyzEzT,Nghulugano Dispensary,DdD0eJyzEzT,106381-7,GO6UJtTT70U,Dodoma,Bahi District Council,Nghulugano Dispensary,Nghulugano Dispensary,,USAID,EGPAF,4
2349,IRZeEYN4u1x,Kelema Dispensary,IRZeEYN4u1x,102533-7,Bjz6d6dIFv7,Dodoma,Chemba District Council,Kelema Dispensary,Kelema Dispensary,,USAID,EGPAF,4
2350,gWBRspkf0uw,Chemba District Hospital,gWBRspkf0uw,114015-1,NlxPkFRD2mT,Dodoma,Chemba District Council,Chemba District Hospital,Chemba District Hospital,,USAID,EGPAF,4
2351,qu7bkHwjtCM,Mbande Dispensary,qu7bkHwjtCM,104566-5,AjiiSQ0MyeM,Dodoma,Kongwa District Council,Mbande Dispensary,Mbande Dispensary,,USAID,EGPAF,4
2352,uQ6AEPLq1W0,Olorieni Dispensary,uQ6AEPLq1W0,109980-3,jx08wERond3,Arusha,Arusha City Council,Olorieni Dispensary,Olorieni Dispensary,,USAID,EGPAF,4
2353,ijZfq6zVfKq,Mtera Health Center,ijZfq6zVfKq,105556-5,T53PQVYgYbk,Dodoma,Mpwapwa District Council,Mtera Health Center,Mtera Health Center,,USAID,EGPAF,4
2354,S97ajl8sma6,Ngage Dispensary,S97ajl8sma6,106326-2,s2mEKIAhowY,Manyara,Simanjiro District Council,Ngage Dispensary,Ngage Dispensary,,USAID,EGPAF,4
2355,TAq02qEPzQW,Korongoni Dispensary,TAq02qEPzQW,108622-2,ZOdvlLfTctk,Kilimanjaro,Moshi Municipal Council,Korongoni Dispensary,Korongoni Dispensary,,USAID,EGPAF,4
2356,ku0czjBIYrb,Levishi Dispensary,ku0czjBIYrb,103489-1,Lx9O6vI0TSs,Kilimanjaro,Siha District Council,Levishi Dispensary,Levishi Dispensary,,USAID,EGPAF,4
2357,dkxb0adCZ6P,Mima Health Center,dkxb0adCZ6P,104939-4,mDrVnC7TQve,Dodoma,Mpwapwa District Council,Mima Health Center,Mima Health Center,,USAID,EGPAF,4
2358,cBaCLWmdRUA,Engarenaibor Health Center,cBaCLWmdRUA,101099-0,VuiYHy2vsKJ,Arusha,Longido District Council,Engarenaibor Health Center,Engarenaibor Health Center,,USAID,EGPAF,4
2359,BFOezhU2JXi,St.Alfred Riroda Rc Dispensary,BFOezhU2JXi,107089-5,xUFgvQYf66Q,Manyara,Babati District Council,St.Alfred Riroda Rc Dispensary,St.Alfred Riroda Rc Dispensary,,USAID,EGPAF,4
2360,Vm0SGozh6nS,Haubi Va Dispensary,Vm0SGozh6nS,101331-7,U4KlQrYnLuT,Dodoma,Kondoa District Council,Haubi Va Dispensary,Haubi Va Dispensary,,USAID,EGPAF,4
2361,NoZJDiVBOFx,Kia Dispensary,NoZJDiVBOFx,102557-6,Gl6fMdljbLX,Kilimanjaro,Hai District Council,Kia Dispensary,Kia Dispensary,,USAID,EGPAF,4
2362,KwQCJlMgFAb,Lamaiti Dispensary,KwQCJlMgFAb,103456-0,wAE3jX0VttC,Dodoma,Bahi District Council,Lamaiti Dispensary,Lamaiti Dispensary,,USAID,EGPAF,4
2363,m26tNfxyOJ8,Loiborsiret Dispensary,m26tNfxyOJ8,103568-2,NSjnORHNMsq,Manyara,Simanjiro District Council,Loiborsiret Dispensary,Loiborsiret Dispensary,,USAID,EGPAF,4
2364,fhL6W3hhB8K,Mererani Rc Dispensary,fhL6W3hhB8K,104742-2,Rug5Jx8xMVJ,Manyara,Simanjiro District Council,Mererani Rc Dispensary,Mererani Rc Dispensary,,USAID,EGPAF,4
2365,RW9owfURJdE,Rundugai Dispensary,RW9owfURJdE,107157-0,ER0AFFZz9bE,Kilimanjaro,Hai District Council,Rundugai Dispensary,Rundugai Dispensary,,USAID,EGPAF,4
2366,U19ywmZan8B,Songambele Dispensary,U19ywmZan8B,107537-3,m4O6PehLsi1,Manyara,Kiteto District Council,Songambele Dispensary,Songambele Dispensary,,USAID,EGPAF,4
2367,pmJhczQkdOi,Msosa Dispensary,pmJhczQkdOi,105501-1,evT0ozlNfnY,Singida,Ikungi District Council,Msosa Dispensary,Msosa Dispensary,,USAID,EGPAF,4
2368,FXQtKbHJa1d,Namalulu Dispensary,FXQtKbHJa1d,106102-7,F3LX6VorS69,Manyara,Simanjiro District Council,Namalulu Dispensary,Namalulu Dispensary,,USAID,EGPAF,4
2369,ZGh6FppvIaD,St Agnes Health Center,ZGh6FppvIaD,105918-7,tSUpf6UUCSh,Singida,Mkalama District Council,St Agnes Health Center,St Agnes Health Center,,USAID,EGPAF,4
2370,x50fcyKxLBJ,Chibelela Dispensary,x50fcyKxLBJ,100775-6,OGdMaRMXR9V,Dodoma,Bahi District Council,Chibelela Dispensary,Chibelela Dispensary,,USAID,EGPAF,4
2371,aaSodOfQHEO,Sagara Dispensary,aaSodOfQHEO,107228-9,sH0BZ50HC3G,Dodoma,Kongwa District Council,Sagara Dispensary,Sagara Dispensary,,USAID,EGPAF,4
2372,SGJ5H0zjlzT,Lerang'Wa Dispensary,SGJ5H0zjlzT,103484-2,srRT7qdx6aW,Arusha,Longido District Council,Lerang'Wa Dispensary,Lerang'Wa Dispensary,,USAID,EGPAF,4
2373,wDCcEOlPq7v,Mwada Dispensary,wDCcEOlPq7v,105801-5,TTzq8jvhQLa,Manyara,Babati District Council,Mwada Dispensary,Mwada Dispensary,,USAID,EGPAF,4
2374,EIjauSR1RNk,Babayu Dispensary,EIjauSR1RNk,100215-3,r8T82ZWjItm,Dodoma,Bahi District Council,Babayu Dispensary,Babayu Dispensary,,USAID,EGPAF,4
2375,DKeHPVdG3bW,Misughaa Dispensary,DKeHPVdG3bW,104988-1,oz4wV0RCA8A,Singida,Ikungi District Council,Misughaa Dispensary,Misughaa Dispensary,,USAID,EGPAF,4
2376,h7NIEzSsIkj,Nkwae Dispensary,h7NIEzSsIkj,106555-6,Z6wIHssPEOm,Singida,Singida District Council,Nkwae Dispensary,Nkwae Dispensary,,USAID,EGPAF,4
2377,eTGdp2A923Q,Iduo Dispensary,eTGdp2A923Q,101497-6,eDEOZVZ8rp4,Dodoma,Kongwa District Council,Iduo Dispensary,Iduo Dispensary,,USAID,EGPAF,4
2378,f5b6UdbMJdU,Itolwa Dispensary,f5b6UdbMJdU,101997-5,yFiYgAMf4Rw,Dodoma,Chemba District Council,Itolwa Dispensary,Itolwa Dispensary,,USAID,EGPAF,4
2379,njMa57Ce3yH,Maili Sita Rc Dispensary,njMa57Ce3yH,104038-5,uQasoVPqvTG,Kilimanjaro,Hai District Council,Maili Sita Rc Dispensary,Maili Sita Rc Dispensary,,USAID,EGPAF,4
2380,ue1QfVcyq18,Mji Mpya Dispensary,ue1QfVcyq18,105027-7,ZkVShqv1m3b,Kilimanjaro,Moshi Municipal Council,Mji Mpya Dispensary,Mji Mpya Dispensary,,USAID,EGPAF,4
2381,Mor73l5DtVI,Nzuguni Dispensary,Mor73l5DtVI,106877-4,qqFsT5vwiNj,Dodoma,Dodoma Municipal Council,Nzuguni Dispensary,Nzuguni Dispensary,,USAID,EGPAF,4
2382,djd3JD6OFkC,Sakami Dispensary,djd3JD6OFkC,107235-4,UVtBvguGE1l,Dodoma,Kondoa District Council,Sakami Dispensary,Sakami Dispensary,,USAID,EGPAF,4
2383,aSgTtesw8Ty,Manyata Dispensary,aSgTtesw8Ty,104281-1,Wjhnh2oynLV,Dodoma,Kongwa District Council,Manyata Dispensary,Manyata Dispensary,,USAID,EGPAF,4
2384,c6oHyg4l5Iz,Maluga Dispensary,c6oHyg4l5Iz,104193-8,qpQLGtXO1lL,Singida,Iramba District Council,Maluga Dispensary,Maluga Dispensary,,USAID,EGPAF,4
2385,Diupb7pHnYC,Zuzu Dispensary,Diupb7pHnYC,108431-8,fH5EQ7VQj7z,Dodoma,Dodoma Municipal Council,Zuzu Dispensary,Zuzu Dispensary,,USAID,EGPAF,4
2386,z6XESxcdFy8,Kintanula Dispensary,z6XESxcdFy8,102967-7,N5xJgGNQEbZ,Singida,Itigi District Council,Kintanula Dispensary,Kintanula Dispensary,,USAID,EGPAF,4
2387,AJISeu4kIiH,Makawa Dispensary,AJISeu4kIiH,104097-1,R1C6X7xTgBl,Dodoma,Kongwa District Council,Makawa Dispensary,Makawa Dispensary,,USAID,EGPAF,4
2388,QZ4j5t2gmiu,Pandambili Dispensary,QZ4j5t2gmiu,106959-0,gUHKrTOKCD8,Dodoma,Kongwa District Council,Pandambili Dispensary,Pandambili Dispensary,,USAID,EGPAF,4
2389,hMU8JcZ2e0P,Uhuru Other Hospital,hMU8JcZ2e0P,114711-5,CYRTkninkiP,Dodoma,Chamwino District Council,Uhuru Other Hospital,Uhuru Other Hospital,,USAID,EGPAF,4
2390,CLGUyEjDAui,Kikore Dispensary,CLGUyEjDAui,102791-1,VMnMmQCzyGF,Dodoma,Kondoa District Council,Kikore Dispensary,Kikore Dispensary,,USAID,EGPAF,4
2391,Q37FdZFNKOf,Mkalama District Hospital,Q37FdZFNKOf,113972-4,eHjAGFpOlLh,Singida,Mkalama District Council,Mkalama District Hospital,Mkalama District Hospital,,USAID,EGPAF,4
2392,aAMeRYFum96,St. Thomas Health Center,aAMeRYFum96,107637-1,GoZObLKJsH7,Arusha,Arusha City Council,St. Thomas Health Center,St. Thomas Health Center,,USAID,EGPAF,4
2393,kEn5eAiwrFU,Vunta Health Center,kEn5eAiwrFU,108286-6,UXnxzhOwj1o,Kilimanjaro,Same District Council,Vunta Health Center,Vunta Health Center,,USAID,EGPAF,4
2394,lu8jx9fCLp8,Mareu Health Center,lu8jx9fCLp8,104319-9,F6q6yi4hTZ4,Arusha,Meru District Council,Mareu Health Center,Mareu Health Center,,USAID,EGPAF,4
2395,A9JlUJaFo2Q,Kinyasi Dispensary,A9JlUJaFo2Q,102976-8,Klv29JoYvNz,Dodoma,Kondoa District Council,Kinyasi Dispensary,Kinyasi Dispensary,,USAID,EGPAF,4
2396,kv8QjiUrmOn,Selela Dispensary,kv8QjiUrmOn,107355-0,fTr17NWmmTU,Arusha,Monduli District Council,Selela Dispensary,Selela Dispensary,,USAID,EGPAF,4
2397,Ha5I2Y3eIu5,Bwagamoyo Dispensary,Ha5I2Y3eIu5,100644-4,tNtahLAJhOR,Manyara,Kiteto District Council,Bwagamoyo Dispensary,Bwagamoyo Dispensary,,USAID,EGPAF,4
2398,ozjgv55A5Ot,Inzomvu Dispensary,ozjgv55A5Ot,101818-3,EnUhkzNgKk1,Dodoma,Mpwapwa District Council,Inzomvu Dispensary,Inzomvu Dispensary,,USAID,EGPAF,4
2399,VAG9Dvq7j8c,Loje Dispensary,VAG9Dvq7j8c,103571-6,ycSpyYkBfsY,Dodoma,Chamwino District Council,Loje Dispensary,Loje Dispensary,,USAID,EGPAF,4
2400,LLkeBM58T6b,Mpamantwa Dispensary,LLkeBM58T6b,105331-3,Ewp1SOEYY4A,Dodoma,Bahi District Council,Mpamantwa Dispensary,Mpamantwa Dispensary,,USAID,EGPAF,4
2401,JboebpCQebr,Holili Health Center,JboebpCQebr,101376-2,RSd6t37kTWD,Kilimanjaro,Rombo District Council,Holili Health Center,Holili Health Center,,USAID,EGPAF,4
2402,WYcy4ez9FyZ,Oldeani Health Center,WYcy4ez9FyZ,106899-8,lZvN4Uk0xtC,Arusha,Karatu District Council,Oldeani Health Center,Oldeani Health Center,,USAID,EGPAF,4
2403,Dcg6INmp9QV,Tubugwe Dispensary,Dcg6INmp9QV,107893-0,pVpMQjbiWGe,Dodoma,Kongwa District Council,Tubugwe Dispensary,Tubugwe Dispensary,,USAID,EGPAF,4
2404,C7rpy7Icdxw,Uhasibu Dispensary,C7rpy7Icdxw,108038-1,g5He5r5b8jn,Singida,Singida Municipal Council,Uhasibu Dispensary,Uhasibu Dispensary,,USAID,EGPAF,4
2405,qVDktv9E8Qd,Digodigo Health Center,qVDktv9E8Qd,100974-5,TCbZv0rA0KH,Arusha,Ngorongoro District Council,Digodigo Health Center,Digodigo Health Center,,USAID,EGPAF,4
2406,FFnrunhq8va,Gelai Lumbwa Dispensary,FFnrunhq8va,101195-6,vc2vrM0eRa9,Arusha,Longido District Council,Gelai Lumbwa Dispensary,Gelai Lumbwa Dispensary,,USAID,EGPAF,4
2407,u7DeBPnEw6m,Mundarara Dispensary,u7DeBPnEw6m,105683-7,DQOuGZTSrMh,Arusha,Longido District Council,Mundarara Dispensary,Mundarara Dispensary,,USAID,EGPAF,4
2408,J8TgYbDwFGN,Chimendeli Dispensary,J8TgYbDwFGN,100818-4,qExsUFE4JN6,Dodoma,Bahi District Council,Chimendeli Dispensary,Chimendeli Dispensary,,USAID,EGPAF,4
2409,nwNjRHqQbZw,Bumbuta Dispensary,nwNjRHqQbZw,100557-8,Qrg4fTo2egd,Dodoma,Kondoa District Council,Bumbuta Dispensary,Bumbuta Dispensary,,USAID,EGPAF,4
2410,fUih2VxukmL,Gidas Health Center,fUih2VxukmL,101217-8,jMADqQzHl46,Manyara,Babati District Council,Gidas Health Center,Gidas Health Center,,USAID,EGPAF,4
2411,sOo6FfjtrwE,Kidoka Dispensary,sOo6FfjtrwE,102666-5,DSjSuEp7VsC,Dodoma,Chemba District Council,Kidoka Dispensary,Kidoka Dispensary,,USAID,EGPAF,4
2412,yK3APU8LJ5W,Sejeli Health Center,yK3APU8LJ5W,114776-8,kMf89FsvkoZ,Dodoma,Kongwa District Council,Sejeli Health Center,Sejeli Health Center,,USAID,EGPAF,4
2413,zH04YHsPfgT,Msange Health Center,zH04YHsPfgT,105436-0,WQrJcX9pXpe,Singida,Singida District Council,Msange Dispensary,Msange Dispensary,,USAID,EGPAF,4
2414,iT37xJ2zIAY,Ovada Dispensary,iT37xJ2zIAY,106941-8,vYSh1bCczUX,Dodoma,Chemba District Council,Ovada Dispensary,Ovada Dispensary,,USAID,EGPAF,4
